consent,work_status,ai_use_work,work_feels_central,ai_question_value,purpose_despite_ai,control_over_ai_use,fair_credit_with_ai,open_about_ai_concerns,ai_obsolete_worry,upskilling_for_ai,belonging_changed_ai,ai_increased_pace,ai_increased_availability,ai_stigma,ai_alignment_ethics,values_alignment,work_clarity,emotional_energy,trust_information_work,feels_true_today,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh_rested,wellbeing_interested,open_identity_change,open_ai_improvement,attention_check,industry,role_seniority,org_size,work_hours,ai_task_percentage,role_tenure,age_group,country,gender,industry_other,role_seniority_other
yes,employed_full_time,yes_daily,5,2,3,5,5,7,2,5,2,2,5,1,4,6,6,4,6,people_understand_better,3,4,1,2,1,"It has improved my productivity and quality of work, i feel as if my work is a lot more reliable and it makes it easier to complete other tasks that need my focus.",Maybe for AI to have an understanding and barrier between sharing tasks instead of automatically doing them,pass,transport_logistics_warehousing,intermediate_experienced,1000_4999,30_39,11_25,3_5_years,18_24,uk,woman,,
yes,employed_full_time,yes_daily,5,4,6,4,5,5,2,5,2,3,2,5,4,7,8,8,8,people_understand_better,4,4,4,4,4,"It's made me question whether I should be using AI more, and more efficiently. However it hasn't changed my sense of who I am.",I can't think of anything. I think the world needs to step back and consider use of AI and whether it is helping society or hindering.,pass,professional_scientific_technical_services,director_executive,1000_4999,40_49,1_10,6_10_years,35_44,uk,woman,,
yes,employed_full_time,yes_occasionally,5,1,7,7,4,4,1,1,4,1,1,1,4,7,9,5,6,people_understand_better,4,5,3,3,4,it hasn't changed me at all,"I haven't found out how it would do that as the work involves contractors, plant and machinery.",pass,mining_energy_utilities,senior_specialist,1000_4999,30_39,0_none,3_5_years,55_65,uk,man,,
yes,employed_full_time,yes_daily,6,5,6,6,6,4,4,6,5,5,5,2,5,7,7,5,7,people_understand_better,3,3,3,4,3,"It helped me deliver quicker and more effective, at same time i learn more during the process",No change needed,pass,media_arts_entertainment,senior_specialist,50_249,30_39,26_50,3_5_years,35_44,uk,man,,
yes,employed_full_time,yes_daily,2,2,4,7,6,6,2,3,2,2,1,1,5,7,8,5,8,people_understand_better,2,3,3,2,2,"It hasn't really, but it allows me to look wider and find more inspiration when I am doing research for new projects.","I don't think there is anything. Maybe it could give me certain goals for each day, or motivation. But i'm not sure if this would actually be effective.",pass,nonprofit_community_charity_work,manager_team_leader,250_999,40_49,1_10,1_2_years,35_44,uk,man,,
yes,employed_full_time,yes_daily,4,7,5,4,2,2,7,5,5,7,5,1,3,2,8,4,9,depends_same,2,4,3,2,3,"It's changed a lot of QoL stuff, and I don't need to pay as much attention anymore as AI does all the cross reading.","Less present, and be more in a 'need be' scenario for additional assistance.",pass,information_technology_software,senior_specialist,5000_or_more,30_39,26_50,6_10_years,35_44,ie,man,,
yes,self_employed_freelance,yes_daily,6,2,7,7,6,6,1,6,3,6,3,2,4,7,8,8,7,people_understand_better,4,4,4,4,4,I don't feel AI at work has particularly changed any sense of who I am. I can only say it has made a few tasks less monotonous and saved some time.,"I can't think of a may for AI to improve my identity. My purpose has perhaps been improved slightly as I use the AI every day to perform some tasks, leaving myself a little more time to double check my work.",pass,information_technology_software,senior_specialist,250_999,30_39,26_50,6_10_years,45_54,uk,man,,
yes,employed_full_time,yes_weekly,7,1,7,7,7,7,1,7,1,2,1,1,7,10,10,10,9,people_understand_better,5,5,5,4,5,"It hasn't change my sense of who I am at work and I think most of my colleagues would feel the same way. It is useful to use but it hasn't changed me, just speeded up some of the more difficult or slower parts of my job","Maybe if I used it more often, but I don't think it could change me as a person really.",pass,transport_logistics_warehousing,entry_level,50_249,40_49,1_10,1_2_years,55_65,uk,woman,,
yes,employed_full_time,yes_daily,3,6,4,2,3,5,6,6,5,4,7,1,3,5,3,5,1,people_understand_better,4,4,1,3,4,It makes me feel more likely to be made redundant / replaced with AI,use it alongside my tasks not for my tasks,pass,information_technology_software,director_executive,1000_4999,30_39,26_50,3_5_years,25_34,uk,woman,,
yes,employed_full_time,yes_daily,5,2,5,6,6,5,2,6,2,4,4,3,5,7,8,5,7,people_understand_better,2,1,2,2,2,"I don't feel like AI has changed the person I am at work, though I do feel like it's given me certain tools and resource to be more productive than I have been previously.","I'm not sure AI could improve my purpose, but I would prefer if it was more personalised, so it knew me better. That would help it understand my input better and there would be less mistakes.",pass,professional_scientific_technical_services,manager_team_leader,1000_4999,30_39,26_50,6_11_months,35_44,uk,man,,
yes,employed_full_time,yes_weekly,4,4,4,4,4,5,5,3,4,4,4,4,4,5,3,6,5,depends_same,3,3,3,4,3,I am more articulate on emails,Less robot like in the words,pass,manufacturing_production,intermediate_experienced,5000_or_more,30_39,11_25,less_than_6_months,25_34,uk,woman,,
yes,employed_full_time,yes_weekly,4,3,4,5,4,5,6,6,5,5,5,2,3,9,9,9,9,people_understand_better,3,2,2,1,2,I worry that it may eventually replace me because I work at a healthcare call centre.,Being able to quickly analyse and present lists of patients' symptoms.,pass,health_social_care,intermediate_experienced,1000_4999,30_39,1_10,3_5_years,35_44,uk,man,,
yes,employed_part_time,yes_occasionally,7,2,6,7,6,7,4,6,1,6,1,1,4,8,10,5,7,people_understand_better,4,4,3,2,2,It hasn't changed the sense of who I am.,No idea,pass,health_social_care,manager_team_leader,1000_4999,20_29,11_25,6_10_years,55_65,uk,woman,,
yes,employed_full_time,yes_weekly,6,3,5,7,6,5,1,5,1,6,5,2,6,8,9,7,9,people_understand_better,4,4,3,3,3,i think it makes me work better if frees up my time,i do not know,pass,manufacturing_production,intermediate_experienced,10_49,40_49,1_10,3_5_years,45_54,uk,man,,
yes,employed_full_time,yes_daily,6,4,6,6,6,6,4,5,3,5,4,3,6,7,7,6,7,people_understand_better,3,3,3,3,3,High level skills have become more important.,Quality of work,pass,professional_scientific_technical_services,intermediate_experienced,250_999,30_39,26_50,1_2_years,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,6,2,6,7,2,2,1,1,1,1,1,4,2,6,10,3,6,people_understand_better,3,4,4,4,2,It hasn't,I wouldn't,pass,information_technology_software,intermediate_experienced,50_249,40_49,0_none,3_5_years,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,2,1,5,6,6,6,1,5,1,1,1,1,5,5,10,5,4,ai_understands_better,2,1,4,3,3,It hasn't really. It has made me slightly more efficient in some areas but hasn't changed the sense of who I am,I can't think of anything because it doesn't have any affect on my identity,pass,health_social_care,senior_specialist,5000_or_more,30_39,1_10,1_2_years,35_44,uk,woman,,
yes,employed_full_time,yes_occasionally,3,2,3,5,5,6,2,2,4,5,2,4,4,2,4,2,6,people_understand_better,2,2,2,2,2,it has not changed,if it got me praise from manager,pass,health_social_care,intermediate_experienced,50_249,30_39,11_25,6_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,6,3,5,5,5,3,2,4,2,5,3,2,5,8,8,8,8,depends_same,4,4,4,4,4,Feel advanced or more skilled in my work,Promotion,pass,nonprofit_community_charity_work,manager_team_leader,250_999,30_39,26_50,3_5_years,25_34,uk,woman,,
yes,employed_full_time,no_never,6,3,6,4,4,4,6,2,1,2,1,6,4,8,7,7,10,people_understand_better,4,3,3,2,4,"i don't use AI at work. it does make me feel more proud of my job, because we don't use AI.",if it was used in a way to help me focus on the things i enjoy more - if it could automate the more menial jobs or create lists for me to follow.,pass,hospitality_food_tourism,manager_team_leader,50_249,30_39,0_none,6_11_months,18_24,uk,woman,,
yes,employed_full_time,yes_daily,5,4,5,5,5,4,3,5,4,5,2,3,4,8,7,7,8,people_understand_better,4,4,5,4,4,AI at work has given my employers a blueprint as to what it thinks my output should be so this has added a little bit of pressure in the sense that it now feels like I'm not just being judged by my manager but a robot as well.,To directly look at me and my performance and identify where I can improve rather than broadly looking at a company and sometimes saying irrelavant stuff to the role.,pass,retail_sales_consumer_services,manager_team_leader,not_sure,30_39,11_25,3_5_years,18_24,uk,man,,
yes,employed_full_time,yes_daily,5,3,5,5,6,6,6,5,3,6,3,2,5,7,7,6,8,people_understand_better,3,4,4,3,4,"i see myself more in charge, i feel like im in control of my work and in a way im more assertive in my decision choices. Somedays i feel like im organising my work load in a way as the manager would","i guess if AI connected with me on a personal level and we shared thoughts, goals and values it would make me improve, this would require AI building on our memories together",pass,retail_sales_consumer_services,senior_specialist,10_49,30_39,51_75,more_than_10_years,45_54,uk,man,,
yes,employed_part_time,yes_occasionally,6,3,6,6,6,6,7,4,4,1,1,1,5,7,8,6,7,people_understand_better,3,3,2,2,2,It hasn't but we do not routinely use it. I use it myself where I want clarification on things but it hasn't changed and processes. Therefore it has had very little impact so far and hasn't affected my sense of self at all.,Nothing I can think of at the moment. Probably due to how little we use it at the moment.,pass,other,manager_team_leader,10_49,20_29,0_none,6_10_years,45_54,uk,woman,Wholesale of products manufactured by our parent company.,
yes,employed_full_time,yes_daily,5,3,5,5,4,3,4,6,4,6,6,4,5,8,8,7,8,people_understand_better,4,4,4,3,4,It helps me understand stuff better and it helps with faster analysis and output,,pass,health_social_care,intermediate_experienced,250_999,30_39,11_25,1_2_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,6,5,4,5,6,6,6,5,5,3,6,5,6,8,6,4,4,people_understand_better,5,3,2,5,5,It has made it easier to do things but not changed me. I do have more time to lead my team though.,If it could take on the basic tasks so i can spend more time with my team,pass,real_estate_property_services,manager_team_leader,50_249,40_49,26_50,6_10_years,45_54,uk,man,,
yes,employed_full_time,yes_daily,6,4,6,5,5,5,4,4,1,3,2,3,4,7,7,7,8,people_understand_better,4,4,4,4,4,"I don't think it's changed my sense of who I am - I feel that I am dumbing myself down a bit by having it draft lots of my emails, but does improve some of my messaging and increases speed slightly.",Unsure - just making sure it doesn't fully take over,pass,education_training,manager_team_leader,50_249,40_49,1_10,1_2_years,25_34,uk,woman,,
yes,employed_full_time,yes_daily,7,1,7,7,7,7,2,2,4,2,1,1,7,9,9,6,9,people_understand_better,4,3,4,2,4,AI has no bearing whatsever to whom I am at work,"At the moment, I don't believe AI has the ability to effect my identity and purpose at work either for good or bad.",pass,professional_scientific_technical_services,senior_specialist,10_49,40_49,11_25,3_5_years,45_54,uk,man,,
yes,employed_full_time,yes_daily,4,2,5,6,6,7,5,6,3,5,4,2,6,7,9,6,8,people_understand_better,3,4,4,3,3,Not really. It helps me to be more efficient and speeds up my work allowing me to feel less stressed. I feel that I can still give my honest contribution even using AI as a supportive tool,It allows me to have more spare time todedicate to upskilling,pass,manufacturing_production,manager_team_leader,50_249,40_49,26_50,more_than_10_years,45_54,uk,man,,
yes,employed_part_time,yes_weekly,4,6,4,3,3,5,5,4,6,4,5,7,2,6,6,3,6,people_understand_better,3,3,3,3,4,It has made life more complicated as we have so many programs to log into each day and I feel we are discouraged from interacting with real humans but to organise things through ai programs,Use less of it,pass,health_social_care,manager_team_leader,50_249,20_29,26_50,more_than_10_years,35_44,uk,woman,,
yes,employed_full_time,yes_weekly,5,2,3,6,6,5,7,6,2,6,2,3,2,6,6,5,8,people_understand_better,2,3,2,2,2,"It is clawing at the door, but it does greatly concern me. I work as an editor so there is a sense that we (or a large number of editors) will be replaced within the next 5 years with few avenues for career pivots elsewhere.",It could not.,pass,marketing_advertising_communications,intermediate_experienced,250_999,30_39,1_10,1_2_years,35_44,uk,man,,
yes,self_employed_freelance,yes_daily,5,5,5,5,5,6,3,7,2,6,6,3,5,6,7,7,8,people_understand_better,3,3,4,2,3,"AI has raised the expectations for my performance from clients, pushing me to work faster and deliver more. However, it has also helped me become more efficient in my work.",Personalized feedback and guidance would help mem better understand my strengths and weaknesses.,pass,information_technology_software,entry_level,just_me,10_19,26_50,less_than_6_months,18_24,nz,man,,
yes,employed_full_time,yes_occasionally,5,4,5,6,5,6,4,5,4,2,1,3,5,6,7,5,7,people_understand_better,2,2,1,1,3,"it hasn't changed too much, just helped me to use professional terminology better and word emails better though there is still the fear of being replaced by it in the future to some degree.",to have it be more regulated.,pass,information_technology_software,intermediate_experienced,1000_4999,30_39,1_10,3_5_years,25_34,uk,woman,,
yes,self_employed_freelance,yes_daily,3,6,5,4,4,6,7,5,6,4,4,4,4,7,5,5,4,people_understand_better,4,3,2,3,4,My skills are no longer unique and so they are now of less value.,I really don't know. I need to find a new career. I can no longer earn a living as a writer.,pass,media_arts_entertainment,owner_founder,just_me,30_39,1_10,more_than_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,6,3,7,5,6,5,4,7,3,6,5,2,4,6,7,8,8,depends_same,4,4,3,4,4,Gave me more insight and quality tools,More familiarity,pass,real_estate_property_services,manager_team_leader,50_249,30_39,26_50,3_5_years,55_65,uk,man,,
yes,employed_full_time,yes_daily,5,5,6,6,6,5,5,7,2,5,5,5,4,7,9,9,7,people_understand_better,3,4,4,4,4,"AI HAS MADE ME MORE REFLECTIVE ABOUT THE VALUE I BRING. IT IS PUSHED ME TO FOCUS ON CREATIVITY, EMPATHY AND JUDMENT RATHER THAN JUST EFFICIENCY. I FELL LESS LIKE A TASK DOER AND MORE LIKE A STRATEGIC THINKER WHO CONNECTS DOTS THAT MACHINES CAN'T","IF AI COULD BETTER UNDERSTAND THE EMOTIONAL CONTEXT BEHIND DECISIONS, IT WOULD HELP ME LEAD WITH MORE EMPATHY AND CLARITY, THAT SHIFT WOULD MAKE MY ROLE FEEL LESS REACTIVE AND MORE PURPOSE DRIVEN, ESPECIALLY IN HIG STAKES OR SENSITIVE SITUATIONS",pass,education_training,manager_team_leader,250_999,40_49,11_25,more_than_10_years,55_65,uk,woman,,
yes,self_employed_freelance,yes_weekly,6,3,6,6,6,6,3,5,4,4,2,2,4,5,8,7,7,people_understand_better,3,3,3,3,3,If anything it has just increased my confidence and filled skills I think I can sometimes lack. It has also encouraged me when I have expressed doubt in my abilities.,Having more holistic responses.,pass,retail_sales_consumer_services,owner_founder,just_me,30_39,1_10,6_10_years,25_34,uk,woman,,
yes,employed_full_time,yes_occasionally,5,2,6,6,5,6,2,6,2,4,3,2,6,8,9,9,9,people_understand_better,4,4,5,4,5,It helps me to speed up the process. It also help me to find relevant information.,I can't think of any.,pass,nonprofit_community_charity_work,manager_team_leader,1000_4999,30_39,1_10,3_5_years,35_44,uk,man,,
yes,employed_full_time,yes_weekly,2,2,3,3,2,4,3,5,2,3,3,3,4,4,3,7,7,people_understand_better,4,4,3,3,3,I think it has just generally made life so much easier and made it far easier for me to do my job,Nothing I don't think,pass,transport_logistics_warehousing,senior_specialist,250_999,30_39,11_25,3_5_years,25_34,uk,woman,,
yes,employed_part_time,no_never,3,3,2,4,4,4,2,2,4,2,3,4,6,4,4,5,7,people_understand_better,3,4,1,1,2,It hasnt at all,I don't think AI could improve my identity,pass,education_training,entry_level,2_9,less_than_10,0_none,6_10_years,25_34,uk,woman,,
yes,employed_full_time,yes_weekly,6,2,6,6,6,5,2,4,2,4,2,6,4,8,7,7,8,people_understand_better,4,4,4,1,5,I think it has made me more confident. I have someone I can turn to to look over my work and check it on the spot without judgement,I think just polishing my work. It helps to make it more polished quickly,pass,health_social_care,director_executive,250_999,40_49,11_25,6_10_years,35_44,us,man,,
yes,employed_full_time,yes_daily,6,3,6,6,5,6,3,5,5,5,5,3,5,8,8,8,7,people_understand_better,4,4,4,4,4,It's made me more creative,Allowing me to use it more,pass,construction_trades,senior_specialist,2_9,30_39,26_50,6_10_years,35_44,uk,woman,,
yes,employed_part_time,yes_occasionally,2,2,5,4,5,5,2,2,4,3,2,4,3,4,6,5,6,people_understand_better,3,3,2,2,3,"It hasn't really changed my sense of who I am. Who I am is the same, but how I work has changed slightly.",I'm not sure,pass,hospitality_food_tourism,intermediate_experienced,5000_or_more,10_19,1_10,less_than_6_months,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,6,2,4,6,5,3,5,5,5,5,6,4,5,4,3,5,5,people_understand_better,4,4,5,2,3,Not at all,None,pass,retail_sales_consumer_services,intermediate_experienced,2_9,30_39,1_10,6_11_months,35_44,uk,man,,
yes,employed_full_time,yes_weekly,6,7,6,7,7,6,2,7,3,6,7,2,6,9,10,9,9,depends_same,5,4,5,4,5,"The AI has altered my vision of myself as an employee because it has helped me to be more conscious of what is unique to human beings in my job. Since some of the more mundane or analytical aspects of my job have been automated with the help of AI tools, I have also found myself paying a little more attention to creativity, judgment, and interpersonal connection, which are still significantly impacted by human understanding. It has also compelled me to consider myself to be more of a partner with technology than a consumer of technology. In that regard, AI did not reduce my identity in the workplace, it changed it, making adaptability and emotional intelligence the key components of my professional identity.","The only modification that AI would need to enhance my identity and purpose at work is whether the AI allows me to have a clearer understanding of how it arrives at its decisions or suggestions. An explanation of its reasoning by AI will empower me to learn by it, make better decisions, and feel more of an active collaborator than a passive user. Such openness would make me feel more of an owner, mission, and comfortable applying AI as a true supplement to my professional judgment.",pass,manufacturing_production,manager_team_leader,250_999,30_39,11_25,1_2_years,25_34,us,man,,
yes,employed_full_time,yes_daily,5,5,3,4,3,6,6,3,4,3,5,7,4,4,7,6,4,ai_understands_better,4,5,3,4,4,It's made me feel less useful because I feel that I can be replaced quite easily because I know how much easier work is with AI.,I'm not too sure about this because I feel like it's only a matter of time once AI gets too advanced that it'll get rid of even more jobs so I'm not sure what it can do to improve identity.,pass,retail_sales_consumer_services,entry_level,50_249,40_49,26_50,1_2_years,18_24,uk,man,,
yes,employed_full_time,yes_daily,6,2,7,7,5,7,2,5,1,6,6,3,6,7,10,5,8,depends_same,4,3,5,3,4,"AI has definitely shifted how I see myself at work. In some ways, it's made me feel more capable, It's a mix of empowerment and reflection. I feel more efficient, but I'm also thinking more critically about what it really means to contribute meaningfully.","It would be if it helped me focus more on the meaningful, creative, and strategic parts of my job rather than the repetitive or purely technical tasks.",pass,hospitality_food_tourism,manager_team_leader,50_249,40_49,51_75,6_10_years,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,3,1,5,7,3,2,1,2,4,3,2,3,4,4,4,2,6,people_understand_better,2,1,2,1,3,It gives me more confidence and more time as I can get it to help me with some tasks that are time consuming and generate ideas for me,More reliable when I have a request that it understands more what I want first time,pass,education_training,entry_level,50_249,50_or_more,1_10,1_2_years,25_34,uk,woman,,
yes,employed_full_time,yes_weekly,5,2,7,6,7,7,2,7,1,4,1,1,6,8,10,8,10,depends_same,4,4,2,3,4,It allows me to undertake additional tasks because I have put in personal development I am also a go to person to support other department in AI integration.,Destigmatisation,pass,government_public_administration,intermediate_experienced,50_249,30_39,1_10,1_2_years,25_34,uk,man,,
yes,employed_part_time,yes_occasionally,6,3,3,4,4,4,3,2,4,5,4,6,2,5,6,6,4,people_understand_better,4,4,4,4,4,I'm trying not to use it cause I don't want it to change me,I don't know,pass,retail_sales_consumer_services,entry_level,50_249,10_19,1_10,3_5_years,25_34,uk,woman,,
yes,employed_full_time,yes_occasionally,6,5,5,3,3,4,6,5,5,5,2,5,4,7,7,6,7,people_understand_better,3,4,3,3,3,AI hasn't changed my sense of who I am at work. My work is still specialised enough that AI could not manage it (at least for now) better than I can myself,Increases productivity (ie speed),pass,health_social_care,senior_specialist,1000_4999,40_49,1_10,3_5_years,35_44,uk,man,,
yes,employed_full_time,yes_daily,2,2,2,5,6,6,2,3,2,2,2,2,3,2,4,2,8,people_understand_better,1,1,2,1,1,it has not,deeper explanations,pass,health_social_care,manager_team_leader,5000_or_more,40_49,76_100,more_than_10_years,55_65,uk,man,,
yes,employed_full_time,yes_weekly,6,3,6,7,6,7,2,4,4,2,1,5,4,8,9,7,8,people_understand_better,4,4,4,3,4,I would not say AI has changed my sense of self or identity at work at all. In my organisation the use of AI is limited and it is very much a tool to assist (such as automating minutes) rather than in any way replacing or even supplementing the work and value I create.,"I would like to find a compelling reason to actually use AI, rather than minor time savings. Currently I feel the agents available are limited in assisting in my role and business area.",pass,government_public_administration,intermediate_experienced,5000_or_more,30_39,1_10,6_11_months,45_54,uk,man,,
yes,employed_full_time,yes_daily,6,3,5,6,6,6,3,3,4,6,5,5,5,7,7,6,8,people_understand_better,4,4,4,4,3,It has improved the quality of my responses. This in turn gives me confidence when responding to senior figures in my place of work.,Polishing my writing.,pass,finance_banking_insurance,senior_specialist,5000_or_more,30_39,11_25,1_2_years,45_54,uk,man,,
yes,employed_full_time,yes_daily,6,3,3,6,5,6,2,6,4,5,5,5,5,6,7,9,6,ai_understands_better,4,4,4,3,3,It makes me more productive,Productivity,pass,finance_banking_insurance,manager_team_leader,50_249,30_39,26_50,6_10_years,35_44,uk,man,,
yes,employed_full_time,yes_occasionally,7,3,7,7,7,5,3,2,4,3,1,5,5,8,9,4,5,people_understand_better,3,4,1,1,3,It hasn't changed my sense of who I am but I do worry about the ethical implications. I still feel the need to check over everything it does and I only give it menial tasks.,Greater trust in its security and accuracy,pass,professional_scientific_technical_services,intermediate_experienced,2_9,30_39,11_25,3_5_years,25_34,uk,woman,,
yes,employed_full_time,yes_daily,2,2,6,7,6,6,1,6,1,6,1,1,6,5,8,8,10,depends_same,4,4,4,4,4,"It leaves me feeling more confident, particularly where wording difficult emails are concerned, making sure things are polished up and look professional. I also use it for information gathering and feel confident that I can quickly and easily provide people with the information they need in a professional way.",Nothing. It works for me just as it is right now.,pass,real_estate_property_services,intermediate_experienced,2_9,30_39,11_25,6_10_years,25_34,uk,woman,,
yes,employed_part_time,yes_occasionally,5,2,6,6,4,4,5,6,4,2,2,5,4,8,8,8,9,prefer_not_to_say,4,4,3,4,3,no not at all i am still me,easier access,pass,health_social_care,entry_level,not_sure,10_19,1_10,6_11_months,18_24,uk,man,,
yes,employed_full_time,yes_weekly,6,1,7,7,7,6,1,7,1,1,1,1,6,10,10,6,10,people_understand_better,4,4,3,2,4,It has helped me think outside the box and come up with solutions to problems I hadn't previously considered. It also helps me think of potential issues that could arise from solutions I have thought of.,It would help me make less mistakes and improve communication with my team.,pass,construction_trades,intermediate_experienced,1000_4999,40_49,1_10,less_than_6_months,25_34,ca,man,,
yes,employed_full_time,yes_daily,5,3,6,6,5,7,4,3,4,5,3,3,4,7,7,8,7,people_understand_better,4,4,4,3,4,It has not changed at all my sense of who I am at work.,If it helped me do idea prgressons and collaboration more thoroughly.,pass,other,director_executive,10_49,50_or_more,1_10,more_than_10_years,45_54,us,man,Intellectual Property Development and Licensing,
yes,employed_full_time,yes_weekly,3,4,2,3,5,4,5,6,5,5,4,2,3,6,6,4,5,people_understand_better,3,4,5,2,3,AI helps out with work tasks and personal tasks. I haven't changed as a person because of AI. I just see it as a tool to help me when possible,Nothing,pass,mining_energy_utilities,manager_team_leader,5000_or_more,40_49,1_10,3_5_years,25_34,uk,man,,
yes,employed_full_time,yes_daily,5,2,5,4,5,2,3,4,2,5,3,2,6,7,7,9,6,people_understand_better,5,4,4,4,5,It has allowed me to focus on other issues.,Better integration into the tools I use,pass,information_technology_software,manager_team_leader,1000_4999,40_49,26_50,1_2_years,25_34,uk,man,,
yes,employed_full_time,yes_weekly,6,2,5,6,5,6,2,5,2,2,2,2,4,8,8,8,8,people_understand_better,5,5,4,4,4,AI hasn't changed anything as AI can't do the job that I do. It may help with report writing but can't change the job that I do,it wouldn't change my identity,pass,professional_scientific_technical_services,manager_team_leader,5000_or_more,30_39,1_10,more_than_10_years,45_54,uk,man,,
yes,employed_full_time,yes_occasionally,6,2,7,5,6,4,6,7,4,4,1,5,2,9,9,8,8,people_understand_better,4,4,3,4,4,"It didn' change much. Yes I learn and put in place technical stuff that AI guided me to do, but I still had to put things in place.","Not much, AI still does not do a lot of things and companies still don't really know how to put it in place.",pass,manufacturing_production,senior_specialist,1000_4999,40_49,1_10,3_5_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,6,2,6,7,7,7,3,6,1,1,1,5,6,6,6,2,8,people_understand_better,4,4,3,3,4,"It has given me more confidence at work as I feel more comfortable with asking ""silly questions"" of AI than of a colleague. I have questioned whether using AI is cheating but I have decided it is a tool like any other.",If it became more widely used and accepted in my industry,pass,media_arts_entertainment,intermediate_experienced,1000_4999,30_39,51_75,6_10_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,4,2,3,5,4,4,3,3,4,5,5,4,4,6,6,5,6,people_understand_better,4,4,2,4,3,no i dont think it has changed who i am at all i feel the same,it could give me new ideas,pass,hospitality_food_tourism,entry_level,50_249,40_49,26_50,3_5_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,5,3,5,7,6,6,2,7,5,5,5,3,6,5,3,4,9,ai_understands_better,4,4,3,3,3,It helps me in my day to day life,Not sure,pass,information_technology_software,director_executive,250_999,40_49,1_10,6_10_years,45_54,uk,man,,
yes,employed_full_time,yes_daily,7,6,7,6,6,7,7,7,6,5,3,2,4,7,9,10,9,people_understand_better,5,5,4,5,4,"Ai has made many simple tasks But we all worry it could take our jobs.very easy, and AI has all the information to help with difficult issues.",integrating AI to automate mundane tasks. Context and purpose.,pass,health_social_care,manager_team_leader,1000_4999,40_49,11_25,6_10_years,55_65,uk,man,,
yes,employed_full_time,yes_daily,6,2,6,6,4,4,3,3,2,2,1,2,5,8,8,5,6,people_understand_better,3,4,4,3,3,Not much. I am using it as a tool to help me with my queries of to find work related information.,Can't think of any. It could be used as automated tool for filling the gaps in our regular queries.,pass,transport_logistics_warehousing,manager_team_leader,250_999,30_39,1_10,3_5_years,35_44,uk,man,,
yes,employed_part_time,yes_weekly,3,3,5,5,5,7,6,2,2,6,2,4,5,8,8,5,9,people_understand_better,3,4,3,3,3,My role has changed and I am expected to do more interpersonal roles,If it was Completely self Sufficient and didn't need checking,pass,health_social_care,intermediate_experienced,not_sure,20_29,11_25,6_10_years,35_44,uk,woman,,
yes,employed_full_time,no_never,2,1,1,4,1,1,1,1,1,1,1,1,1,0,5,1,2,people_understand_better,1,3,1,1,2,We dont use AI at work.,It cannot do any of that since we do not use AI,pass,transport_logistics_warehousing,intermediate_experienced,5000_or_more,30_39,0_none,6_10_years,45_54,us,man,,
yes,employed_full_time,yes_weekly,6,2,6,6,7,5,2,6,1,4,1,2,6,8,8,9,9,people_understand_better,4,4,4,4,4,I do not feel that it has changed who I am at work,Improving my efficiency,pass,government_public_administration,manager_team_leader,1000_4999,30_39,1_10,6_10_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,5,2,6,6,6,5,2,5,4,5,3,4,5,8,8,8,8,people_understand_better,3,3,2,2,2,It hasn't,if it could understand my tasks and my requirements more accurately,pass,education_training,manager_team_leader,50_249,40_49,11_25,more_than_10_years,45_54,uk,man,,
yes,employed_part_time,yes_occasionally,3,5,3,3,4,4,5,3,4,4,3,3,3,5,5,5,7,people_understand_better,2,2,2,1,1,Its made me feel superfluous.,If it was used less.,pass,health_social_care,entry_level,10_49,20_29,1_10,1_2_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,7,2,5,5,5,4,3,3,1,6,4,2,4,7,7,2,6,people_understand_better,1,1,2,1,1,"It hasn't - its just been a tool, like a spreadsheet. A tool that sometimes gets things wrong. Eg. - we have got rid of personal assistants taking minutes. AI listens in and does a summary. Amusingly it recorded that the Chief HR officer said 'I love you' in the board meeting to the director! I was there and he didn;t.",Make it bullet proof accurate,pass,government_public_administration,manager_team_leader,5000_or_more,30_39,1_10,3_5_years,55_65,uk,man,,
yes,employed_full_time,yes_daily,6,2,6,6,5,5,2,4,4,6,5,7,5,8,9,8,7,depends_same,4,5,5,5,4,"AI has made me more efficient and reflective, helping me focus on creativity and problem-solving rather than repetitive tasks.","One change that would improve this is AI offering deeper, personalized insights that align with my professional goals and values.",pass,construction_trades,intermediate_experienced,50_249,40_49,26_50,6_10_years,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,7,1,7,7,7,7,1,5,4,1,1,5,5,10,10,10,10,people_understand_better,4,5,5,3,5,AI has helped me appear more professional in my emails,None,pass,hospitality_food_tourism,manager_team_leader,10_49,40_49,1_10,3_5_years,25_34,ca,woman,,
